YEAR,WEEK,TAVG,TMAX,TMIN
2024,36,26.185714285714287,36.1,13.9
2024,37,17.885714285714286,30.0,8.3
2024,38,16.928571428571427,30.0,7.2
2024,39,23.74285714285714,32.2,14.4
2024,40,30.014285714285712,37.8,22.8
2024,41,21.328571428571426,34.4,11.7
2024,42,16.085714285714285,24.4,8.3
2024,43,17.557142857142857,25.6,8.3
2024,44,9.157142857142857,15.6,5.0
2024,45,13.185714285714285,19.4,8.3
2024,46,7.714285714285714,13.9,3.3
2024,47,7.1571428571428575,10.6,2.8
2024,48,10.728571428571428,20.0,5.0
2024,49,15.342857142857143,20.6,11.7
2024,50,8.77142857142857,16.7,2.8
2024,51,12.571428571428571,23.3,5.6
2024,52,8.857142857142858,14.4,3.3
2025,1,9.157142857142857,19.4,3.9
2025,2,10.914285714285715,17.2,6.7
2025,3,9.4,16.1,3.9
2025,4,9.700000000000001,19.4,1.7
2025,5,6.628571428571428,12.8,1.1
2025,6,5.7,10.0,0.6
2025,7,6.285714285714286,14.4,1.1
2025,8,11.285714285714286,20.0,3.9
2025,9,12.857142857142858,22.8,2.8
2025,10,6.971428571428571,15.0,1.1
2025,11,5.814285714285715,14.4,0.0
2025,12,8.157142857142857,20.0,0.6
2025,13,10.87142857142857,25.6,2.8
2025,14,8.742857142857144,19.4,1.7
2025,15,14.342857142857143,23.9,3.9
2025,16,11.214285714285714,21.7,4.4
2025,17,8.828571428571427,21.7,2.8
2025,18,13.114285714285716,22.8,3.9
2025,19,17.085714285714285,28.9,5.6
2025,20,11.928571428571429,21.7,5.6
2025,21,14.799999999999999,27.2,5.0
2025,22,19.042857142857144,32.8,6.7
2025,23,18.242857142857144,26.7,5.6
2025,24,20.114285714285717,27.8,13.3
2025,25,16.857142857142858,31.1,5.6
2025,26,21.5,29.4,14.4
2025,27,21.542857142857144,30.0,9.4
2025,28,22.985714285714288,33.3,7.8
2025,29,20.428571428571427,31.1,11.7
2025,30,15.071428571428571,24.4,8.9
2025,31,20.87142857142857,28.3,14.4
2025,32,23.385714285714283,31.7,12.8
2025,33,20.714285714285715,32.2,10.6
2025,34,24.357142857142858,35.0,10.6
2025,35,23.928571428571427,34.4,13.3
2025,36,20.857142857142858,33.9,11.7
2025,37,15.614285714285716,23.9,11.1
2025,38,22.314285714285713,31.7,16.1
